«”г «бб«Џ»;«бЏг—;«бг—я“;Џѕѕ «б г—н—« ;ѕё… «б г—н—«  (%);Џѕѕ «б ”ѕнѕ« ;Џѕѕ «б√еѕ«Ё;д”»… «бдћ«Ќ Ён «бгж«ће«  (%);«б”—Џ… «бё’жм (яг/”);«бг”«Ё… «бгёЎжЏ… (яг);гЏѕб д»÷ «бёб»;д”»… «б Џ» Ён де«н… «б‘жЎ;«б ённг «бЏ«г; ’днЁ «бб«Џ»; ’днЁ «бб«Џ»2
”Џжѕ «бёЌЎ«дн;23;ж”Ў;91;67.96;11;4;47.24;31.31;9.19;125;48.07;5.37;џн— гжеж»;џн— гжеж»
—«я«д «бг«бян;22;ѕЁ«Џ;46;79.73;3;3;65.58;26.62;6.56;153;23.19;6.56;џн— гжеж»;џн— гжеж»
д«’— «б‘г—н;19;ѕЁ«Џ;31;70.01;7;1;71.51;24.76;8.40;119;49.40;8.78;гжеж»;гжеж»
ќ«бѕ «бџ«гѕн;21;ѕЁ«Џ;30;86.79;2;3;81.95;32.90;7.12;174;34.03;5.60;џн— гжеж»;џн— гжеж»
√Ќгѕ «б»бжн;23;ѕЁ«Џ;72;68.67;9;2;48.23;28.78;11.04;157;36.68;8.77;гжеж»;гжеж»
д«’— «б“е—«дн;24;Ќ«—”;74;87.57;7;0;76.95;24.95;9.11;121;43.91;7.45;гжеж»;гжеж»
Ёеѕ «бг«бян;20;ећжг;23;61.97;8;0;78.39;32.14;6.96;153;33.63;6.01;џн— гжеж»;џн— гжеж»
д«’— «бџ«гѕн;27;ећжг;69;87.92;2;0;54.6;29.74;11.63;151;22.68;7.17;гжеж»;гжеж»
Џ»ѕ«ббе «бЌ—»н;23;ж”Ў;47;80.76;3;1;70;33.62;9.07;155;15.87;8.56;гжеж»;гжеж»
”«бг «б“е—«дн;20;ећжг;83;61.93;5;0;58.04;27.31;6.44;168;15.27;5.36;џн— гжеж»;џн— гжеж»
Ёеѕ «бЌ—»н;26;ѕЁ«Џ;36;74.03;2;0;83.39;28.06;11.20;182;45.68;6.93;џн— гжеж»;џн— гжеж»
гЌгѕ «бџ«гѕн;27;ж”Ў;30;92.71;8;4;76.01;30.98;11.35;180;28.57;5.58;џн— гжеж»;џн— гжеж»
√Ќгѕ «бЏ н»н;24;ж”Ў;70;77.73;8;0;72.38;29.90;10.36;136;19.48;8.27;гжеж»;гжеж»
гЌгѕ «б»бжн;23;ѕЁ«Џ;85;61.44;5;1;58.85;28.56;7.58;173;38.26;7.72;гжеж»;гжеж»
 —ян «бЏ н»н;28;ѕЁ«Џ;14;67.14;6;2;75.37;32.95;9.38;147;23.96;7.78;гжеж»;гжеж»
гЌгѕ «бЌ—»н;27;ѕЁ«Џ;61;79.65;3;0;46.89;23.66;9.60;127;15.21;9.12;гжеж»;гжеж»
гЌгѕ «бџ«гѕн;20;ећжг;84;74.81;2;1;45.01;24.50;11.03;170;42.50;5.51;џн— гжеж»;џн— гжеж»
д«’— «бЌ—»н;29;Ќ«—”;31;67.96;0;3;43.49;30.94;10.22;170;14.87;8.10;гжеж»;гжеж»
”Џжѕ «бџ«гѕн;18;ѕЁ«Џ;85;94.76;2;1;78.8;29.51;8.71;164;40.30;5.64;џн— гжеж»;џн— гжеж»
”«бг «бг«бян;25;ж”Ў;62;87.02;11;5;53.81;32.86;6.13;144;39.64;8.55;гжеж»;гжеж»
Ёеѕ «б“е—«дн;22;ећжг;12;69.41;5;1;40.03;34.22;10.17;133;15.05;6.80;гжеж»;џн— гжеж»
ќ«бѕ «бЏд“н;28;Ќ«—”;15;75.85;5;2;50.99;29.63;8.09;170;24.94;7.43;гжеж»;гжеж»
д«’— «бџ«гѕн;24;ећжг;23;60.23;7;2;53.38;32.51;9.47;136;40.68;8.72;гжеж»;гжеж»
”«бг «бџ«гѕн;26;ж”Ў;14;65.62;6;2;50.35;27.46;11.35;150;25.72;5.02;џн— гжеж»;џн— гжеж»
Џ»ѕ«ббе «бЌ—»н;26;Ќ«—”;72;78.94;5;1;73.79;28.02;10.43;137;29.07;7.20;гжеж»;гжеж»
Ёеѕ «б‘г—н;24;Ќ«—”;67;74.69;5;0;40.5;33.34;8.04;144;21.87;6.14;џн— гжеж»;џн— гжеж»
